"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-4.33371286161672,0.469057449099632,-9.23919419664989,2.48360510471094e-20
"2","fixed",NA,"Fed",1.63496330725245,0.135497057112463,12.066411936131,1.58913270338935e-33
"3","fixed",NA,"LocationRoom",2.60968406334808,0.347617603570715,7.50734150555525,6.03401704611858e-14
"4","fixed",NA,"LocationVeranda",1.85799368995119,0.486627518249749,3.81810238893565,0.000134482113870463
"5","fixed",NA,"TreatmentIG2.wash",3.02808468276431,0.520700144152188,5.81540972625366,6.04855485925583e-09
"6","fixed",NA,"TreatmentP2.unwash",0.539492798360104,0.525178724387608,1.02725562424332,0.304300112002627
"7","fixed",NA,"TreatmentP3.unwash",1.69224068116706,0.553732105176387,3.05606387158644,0.00224263476845845
"8","fixed",NA,"TreatmentP3.wash",1.03092205312315,0.544140188401258,1.89458906932073,0.0581468640424381
"9","fixed",NA,"TreatmentUTN",-0.141249935676882,0.53491403010195,-0.264061003690557,0.791732912200995
"10","fixed",NA,"Total.Loc",0.0204779153170123,0.0142727295064243,1.43475817346605,0.151356020624018
"11","fixed",NA,"LocationRoom:TreatmentIG2.wash",-1.15947458653747,0.409586910522189,-2.83083896665358,0.00464260886957579
"12","fixed",NA,"LocationVeranda:TreatmentIG2.wash",-1.65797905442476,0.567149926661415,-2.92335232093675,0.00346284445791906
"13","fixed",NA,"LocationRoom:TreatmentP2.unwash",-0.662896725454181,0.466649667494938,-1.42054472900995,0.155449156370584
"14","fixed",NA,"LocationVeranda:TreatmentP2.unwash",-0.267555325207642,0.607270727668663,-0.440586567106235,0.659512329343191
"15","fixed",NA,"LocationRoom:TreatmentP3.unwash",-0.344152100784409,0.466901158173277,-0.737098408859989,0.461062506709445
"16","fixed",NA,"LocationVeranda:TreatmentP3.unwash",-0.212326838479903,0.602124037109966,-0.352629733067982,0.724366043986435
"17","fixed",NA,"LocationRoom:TreatmentP3.wash",-0.621647536705799,0.427142184554654,-1.45536441771477,0.145568401661349
"18","fixed",NA,"LocationVeranda:TreatmentP3.wash",0.00620455005952453,0.580263376827043,0.0106926445943424,0.991468666532657
"19","fixed",NA,"LocationRoom:TreatmentUTN",-0.686716225865157,0.435391744483854,-1.57723759020567,0.114740866607918
"20","fixed",NA,"LocationVeranda:TreatmentUTN",0.508887654923007,0.57600450330074,0.883478604779778,0.37697773731475
"21","fixed",NA,"TreatmentIG2.wash:Total.Loc",0.0130726598128216,0.0215631507719888,0.606249984107304,0.544348765755734
"22","fixed",NA,"TreatmentP2.unwash:Total.Loc",-0.00132396470207006,0.0188493046430758,-0.0702394452814162,0.94400307904359
"23","fixed",NA,"TreatmentP3.unwash:Total.Loc",-0.0285914760397784,0.0283862204441018,-1.00723081806825,0.31382386655313
"24","fixed",NA,"TreatmentP3.wash:Total.Loc",-0.0573513570377973,0.0242446432746094,-2.3655269491162,0.0180044328947352
"25","fixed",NA,"TreatmentUTN:Total.Loc",-0.000220951614826478,0.0184524530522382,-0.0119741052423205,0.990446274599181
"26","ran_pars","marker","sd__(Intercept)",1.25609314425039,NA,NA,NA
"27","ran_pars","Sleeper","sd__(Intercept)",0.453850762284526,NA,NA,NA
